Date/Time,volts,amps,watts,volts.1,none,celsius,kilowatt-hours,watts.1,hertz,kilowatt-hours.1,watts.2,volts.2,volts.3,volts.4,volts.5,date/time,new_date/time
2025-01-14 00:00,,,,,,,,,,,,,,,,2025-01-14 00:00:00,14/01/2025 12:00 AM
2025-01-14 00:05,,,,,,,,,,,,,,,,2025-01-14 00:05:00,14/01/2025 12:05 AM
2025-01-14 00:10,,,,,,,,,,,,,,,,2025-01-14 00:10:00,14/01/2025 12:10 AM
2025-01-14 00:15,,,,,,,,,,,,,,,,2025-01-14 00:15:00,14/01/2025 12:15 AM
2025-01-14 00:20,,,,,,,,,,,,,,,,2025-01-14 00:20:00,14/01/2025 12:20 AM
2025-01-14 00:25,,,,,,,,,,,,,,,,2025-01-14 00:25:00,14/01/2025 12:25 AM
2025-01-14 00:30,,,,,,,,,,,,,,,,2025-01-14 00:30:00,14/01/2025 12:30 AM
2025-01-14 00:35,,,,,,,,,,,,,,,,2025-01-14 00:35:00,14/01/2025 12:35 AM
2025-01-14 00:40,,,,,,,,,,,,,,,,2025-01-14 00:40:00,14/01/2025 12:40 AM
2025-01-14 00:45,,,,,,,,,,,,,,,,2025-01-14 00:45:00,14/01/2025 12:45 AM
2025-01-14 00:50,,,,,,,,,,,,,,,,2025-01-14 00:50:00,14/01/2025 12:50 AM
2025-01-14 00:55,,,,,,,,,,,,,,,,2025-01-14 00:55:00,14/01/2025 12:55 AM
2025-01-14 01:00,,,,,,,,,,,,,,,,2025-01-14 01:00:00,14/01/2025 01:00 AM
2025-01-14 01:05,,,,,,,,,,,,,,,,2025-01-14 01:05:00,14/01/2025 01:05 AM
2025-01-14 01:10,,,,,,,,,,,,,,,,2025-01-14 01:10:00,14/01/2025 01:10 AM
2025-01-14 01:15,,,,,,,,,,,,,,,,2025-01-14 01:15:00,14/01/2025 01:15 AM
2025-01-14 01:20,,,,,,,,,,,,,,,,2025-01-14 01:20:00,14/01/2025 01:20 AM
2025-01-14 01:25,,,,,,,,,,,,,,,,2025-01-14 01:25:00,14/01/2025 01:25 AM
2025-01-14 01:30,,,,,,,,,,,,,,,,2025-01-14 01:30:00,14/01/2025 01:30 AM
2025-01-14 01:35,,,,,,,,,,,,,,,,2025-01-14 01:35:00,14/01/2025 01:35 AM
2025-01-14 01:40,,,,,,,,,,,,,,,,2025-01-14 01:40:00,14/01/2025 01:40 AM
2025-01-14 01:45,,,,,,,,,,,,,,,,2025-01-14 01:45:00,14/01/2025 01:45 AM
2025-01-14 01:50,,,,,,,,,,,,,,,,2025-01-14 01:50:00,14/01/2025 01:50 AM
2025-01-14 01:55,,,,,,,,,,,,,,,,2025-01-14 01:55:00,14/01/2025 01:55 AM
2025-01-14 02:00,,,,,,,,,,,,,,,,2025-01-14 02:00:00,14/01/2025 02:00 AM
2025-01-14 02:05,,,,,,,,,,,,,,,,2025-01-14 02:05:00,14/01/2025 02:05 AM
2025-01-14 02:10,,,,,,,,,,,,,,,,2025-01-14 02:10:00,14/01/2025 02:10 AM
2025-01-14 02:15,,,,,,,,,,,,,,,,2025-01-14 02:15:00,14/01/2025 02:15 AM
2025-01-14 02:20,,,,,,,,,,,,,,,,2025-01-14 02:20:00,14/01/2025 02:20 AM
2025-01-14 02:25,,,,,,,,,,,,,,,,2025-01-14 02:25:00,14/01/2025 02:25 AM
2025-01-14 02:30,,,,,,,,,,,,,,,,2025-01-14 02:30:00,14/01/2025 02:30 AM
2025-01-14 02:35,,,,,,,,,,,,,,,,2025-01-14 02:35:00,14/01/2025 02:35 AM
2025-01-14 02:40,,,,,,,,,,,,,,,,2025-01-14 02:40:00,14/01/2025 02:40 AM
2025-01-14 02:45,,,,,,,,,,,,,,,,2025-01-14 02:45:00,14/01/2025 02:45 AM
2025-01-14 02:50,,,,,,,,,,,,,,,,2025-01-14 02:50:00,14/01/2025 02:50 AM
2025-01-14 02:55,,,,,,,,,,,,,,,,2025-01-14 02:55:00,14/01/2025 02:55 AM
2025-01-14 03:00,,,,,,,,,,,,,,,,2025-01-14 03:00:00,14/01/2025 03:00 AM
2025-01-14 03:05,,,,,,,,,,,,,,,,2025-01-14 03:05:00,14/01/2025 03:05 AM
2025-01-14 03:10,,,,,,,,,,,,,,,,2025-01-14 03:10:00,14/01/2025 03:10 AM
2025-01-14 03:15,,,,,,,,,,,,,,,,2025-01-14 03:15:00,14/01/2025 03:15 AM
2025-01-14 03:20,,,,,,,,,,,,,,,,2025-01-14 03:20:00,14/01/2025 03:20 AM
2025-01-14 03:25,,,,,,,,,,,,,,,,2025-01-14 03:25:00,14/01/2025 03:25 AM
2025-01-14 03:30,,,,,,,,,,,,,,,,2025-01-14 03:30:00,14/01/2025 03:30 AM
2025-01-14 03:35,,,,,,,,,,,,,,,,2025-01-14 03:35:00,14/01/2025 03:35 AM
2025-01-14 03:40,,,,,,,,,,,,,,,,2025-01-14 03:40:00,14/01/2025 03:40 AM
2025-01-14 03:45,,,,,,,,,,,,,,,,2025-01-14 03:45:00,14/01/2025 03:45 AM
2025-01-14 03:50,,,,,,,,,,,,,,,,2025-01-14 03:50:00,14/01/2025 03:50 AM
2025-01-14 03:55,,,,,,,,,,,,,,,,2025-01-14 03:55:00,14/01/2025 03:55 AM
2025-01-14 04:00,,,,,,,,,,,,,,,,2025-01-14 04:00:00,14/01/2025 04:00 AM
2025-01-14 04:05,,,,,,,,,,,,,,,,2025-01-14 04:05:00,14/01/2025 04:05 AM
2025-01-14 04:10,,,,,,,,,,,,,,,,2025-01-14 04:10:00,14/01/2025 04:10 AM
2025-01-14 04:15,,,,,,,,,,,,,,,,2025-01-14 04:15:00,14/01/2025 04:15 AM
2025-01-14 04:20,,,,,,,,,,,,,,,,2025-01-14 04:20:00,14/01/2025 04:20 AM
2025-01-14 04:25,,,,,,,,,,,,,,,,2025-01-14 04:25:00,14/01/2025 04:25 AM
2025-01-14 04:30,,,,,,,,,,,,,,,,2025-01-14 04:30:00,14/01/2025 04:30 AM
2025-01-14 04:35,,,,,,,,,,,,,,,,2025-01-14 04:35:00,14/01/2025 04:35 AM
2025-01-14 04:40,,,,,,,,,,,,,,,,2025-01-14 04:40:00,14/01/2025 04:40 AM
2025-01-14 04:45,,,,,,,,,,,,,,,,2025-01-14 04:45:00,14/01/2025 04:45 AM
2025-01-14 04:50,,,,,,,,,,,,,,,,2025-01-14 04:50:00,14/01/2025 04:50 AM
2025-01-14 04:55,,,,,,,,,,,,,,,,2025-01-14 04:55:00,14/01/2025 04:55 AM
2025-01-14 05:00,,,,,,,,,,,,,,,,2025-01-14 05:00:00,14/01/2025 05:00 AM
2025-01-14 05:05,,,,,,,,,,,,,,,,2025-01-14 05:05:00,14/01/2025 05:05 AM
2025-01-14 05:10,,,,,,,,,,,,,,,,2025-01-14 05:10:00,14/01/2025 05:10 AM
2025-01-14 05:15,,,,,,,,,,,,,,,,2025-01-14 05:15:00,14/01/2025 05:15 AM
2025-01-14 05:20,,,,,,,,,,,,,,,,2025-01-14 05:20:00,14/01/2025 05:20 AM
2025-01-14 05:25,,,,,,,,,,,,,,,,2025-01-14 05:25:00,14/01/2025 05:25 AM
2025-01-14 05:30,,,,,,,,,,,,,,,,2025-01-14 05:30:00,14/01/2025 05:30 AM
2025-01-14 05:35,,,,,,,,,,,,,,,,2025-01-14 05:35:00,14/01/2025 05:35 AM
2025-01-14 05:40,,,,,,,,,,,,,,,,2025-01-14 05:40:00,14/01/2025 05:40 AM
2025-01-14 05:45,,,,,,,,,,,,,,,,2025-01-14 05:45:00,14/01/2025 05:45 AM
2025-01-14 05:50,,,,,,,,,,,,,,,,2025-01-14 05:50:00,14/01/2025 05:50 AM
2025-01-14 05:55,,,,,,,,,,,,,,,,2025-01-14 05:55:00,14/01/2025 05:55 AM
2025-01-14 06:00,,,,,,,,,,,,,,,,2025-01-14 06:00:00,14/01/2025 06:00 AM
2025-01-14 06:05,,,,,,,,,,,,,,,,2025-01-14 06:05:00,14/01/2025 06:05 AM
2025-01-14 06:10,,,,,,,,,,,,,,,,2025-01-14 06:10:00,14/01/2025 06:10 AM
2025-01-14 06:15,,,,,,,,,,,,,,,,2025-01-14 06:15:00,14/01/2025 06:15 AM
2025-01-14 06:20,,,,,,,,,,,,,,,,2025-01-14 06:20:00,14/01/2025 06:20 AM
2025-01-14 06:25,,,,,,,,,,,,,,,,2025-01-14 06:25:00,14/01/2025 06:25 AM
2025-01-14 06:30,,,,,,,,,,,,,,,,2025-01-14 06:30:00,14/01/2025 06:30 AM
2025-01-14 06:35,,,,,,,,,,,,,,,,2025-01-14 06:35:00,14/01/2025 06:35 AM
2025-01-14 06:40,,,,,,,,,,,,,,,,2025-01-14 06:40:00,14/01/2025 06:40 AM
2025-01-14 06:45,,,,,,,,,,,,,,,,2025-01-14 06:45:00,14/01/2025 06:45 AM
2025-01-14 06:50,,,,,,,,,,,,,,,,2025-01-14 06:50:00,14/01/2025 06:50 AM
2025-01-14 06:55,400.664998372396,0.024909500033,164.598644256592,526.636942545573,0.0,30.199206034342,0.0,0.0,50.01708984375,0.0,0.0,400.664998372396,399.199554443359,402.8310546875,399.964385986328,2025-01-14 06:55:00,14/01/2025 06:55 AM
2025-01-14 07:00,400.789510091146,0.028537521139,361.477062225342,488.080556233724,0.0,30.296481450399,0.0,0.0,50.062522888184,0.0,0.0,400.789510091146,399.566925048828,403.065155029297,399.736450195312,2025-01-14 07:00:00,14/01/2025 07:00 AM
2025-01-14 07:05,400.37851969401,0.445178925991,242.565444946289,409.414215087891,0.0,31.106608072917,0.0,29.163124084473,50.099697113037,0.0,29.163124084473,400.37851969401,399.454742431641,403.064147949219,398.616668701172,2025-01-14 07:05:00,14/01/2025 07:05 AM
2025-01-14 07:10,398.248138427734,0.455906242132,598.970489501953,368.356160481771,0.0,32.041914621989,0.0,112.173522949219,50.035068511963,0.0,112.173522949219,398.248138427734,397.033508300781,400.336486816406,397.374420166016,2025-01-14 07:10:00,14/01/2025 07:10 AM
2025-01-14 07:15,404.143686930338,0.562383949757,411.321784973145,367.489593505859,0.0,32.9065284729,0.016000000003,260.011291503906,50.061561584473,0.016000000003,260.011291503906,404.143686930338,403.731781005859,406.713500976562,401.985778808594,2025-01-14 07:15:00,14/01/2025 07:15 AM
2025-01-14 07:20,402.624003092448,0.840721487999,763.27294921875,371.739084879557,0.0,33.634415944417,0.032000000007,485.416168212891,50.036613464355,0.032000000007,485.416168212891,402.624003092448,401.506652832031,404.659118652344,401.706237792969,2025-01-14 07:20:00,14/01/2025 07:20 AM
2025-01-14 07:25,401.507314046224,1.203597187996,1100.68566894531,381.33164469401,0.0,34.323079427083,0.047999999981,772.587280273438,50.026847839355,0.047999999981,772.587280273438,401.507314046224,400.026123046875,403.837890625,400.657928466797,2025-01-14 07:25:00,14/01/2025 07:25 AM
2025-01-14 07:30,400.547129313151,1.584012627602,1567.83972167969,372.232554117838,0.0,34.995510101318,0.080000000016,1050.31372070313,50.054130554199,0.080000000016,1050.31372070313,400.547129313151,400.160308837891,402.611694335938,398.869384765625,2025-01-14 07:30:00,14/01/2025 07:30 AM
2025-01-14 07:35,398.78949991862,2.395311594009,2255.42895507813,438.575500488281,0.0,35.620113372803,0.111999999994,1604.33459472656,50.018852233887,0.111999999994,1604.33459472656,398.78949991862,396.592315673828,401.006042480469,398.770141601562,2025-01-14 07:35:00,14/01/2025 07:35 AM
2025-01-14 07:40,406.66855875651,3.228919744492,2901.24340820313,460.534271240234,0.0,36.294532775879,0.160000000003,2242.40014648438,50.001556396484,0.160000000003,2242.40014648438,406.66855875651,405.475128173828,408.526275634766,406.004272460938,2025-01-14 07:40:00,14/01/2025 07:40 AM
2025-01-14 07:45,404.649322509766,4.524534225464,3654.83441162109,454.168986002604,0.0,36.602929433187,0.231999999989,3142.75854492188,49.988903045654,0.231999999989,3142.75854492188,404.649322509766,403.716613769531,405.798065185547,404.433288574219,2025-01-14 07:45:00,14/01/2025 07:45 AM
2025-01-14 07:50,403.633829752604,6.209095478058,4770.59045410156,496.221343994141,0.0,36.037195841471,0.312000000005,4288.076171875,50.027263641357,0.312000000005,4288.076171875,403.633829752604,401.902130126953,406.163208007812,402.836151123047,2025-01-14 07:50:00,14/01/2025 07:50 AM
2025-01-14 07:55,404.968902587891,7.62856388092,5809.79467773438,498.737426757812,0.0,35.824871063232,0.399999999994,5312.083984375,50.04825592041,0.399999999994,5312.083984375,404.968902587891,404.053619384766,406.764770507812,404.088317871094,2025-01-14 07:55:00,14/01/2025 07:55 AM
2025-01-14 08:00,403.545603434245,9.014861106873,6817.90637207031,496.630900065104,0.0,36.016927083333,0.488000000012,6270.19140625,50.069278717041,0.488000000012,6270.19140625,403.545603434245,402.058837890625,404.120330810547,404.457641601562,2025-01-14 08:00:00,14/01/2025 08:00 AM
2025-01-14 08:05,406.690419514974,10.491647720337,7996.84155273438,526.582122802734,0.0,36.409395853678,0.576000000001,7365.8466796875,50.054866790771,0.576000000001,7365.8466796875,406.690419514974,404.987976074219,408.645568847656,406.437713623047,2025-01-14 08:05:00,14/01/2025 08:05 AM
2025-01-14 08:10,406.273813883464,11.891931533813,8969.25146484375,531.10595703125,0.0,36.910099029541,0.655999999988,8335.095703125,50.014266967773,0.655999999988,8335.095703125,406.273813883464,405.640411376953,407.555877685547,405.625152587891,2025-01-14 08:10:00,14/01/2025 08:10 AM
2025-01-14 08:15,404.421447753906,13.587119102478,10099.5673828125,536.509165445964,0.0,37.517004648844,0.744000000006,9481.6220703125,50.020660400391,0.744000000006,9481.6220703125,404.421447753906,402.546875,405.799499511719,404.91796875,2025-01-14 08:15:00,14/01/2025 08:15 AM
2025-01-14 08:20,403.124247233073,15.52619934082,11068.7243652344,556.41758219401,0.0,38.29275894165,0.856,10822.6953125,50.059280395508,0.856,10822.6953125,403.124247233073,401.569976806641,405.413116455078,402.3896484375,2025-01-14 08:20:00,14/01/2025 08:20 AM
2025-01-14 08:25,418.304646809896,16.513578414917,12218.2165527344,564.621724446614,0.0,38.908697764079,0.943999999989,11923.443359375,50.054393768311,0.943999999989,11923.443359375,418.304646809896,417.017883300781,420.030303955078,417.865753173828,2025-01-14 08:25:00,14/01/2025 08:25 AM
