Date,Time,Sunrise,Sunset,TempC,TempF,WindspeedKmph,WindspeedMiles,WinddirDegree,Winddir16Point,WeatherCode,WeatherDesc,WeatherIconUrl,PrecipMM,PrecipInches,Humidity,Visibility,VisibilityMiles,Pressure,PressureInches,Cloudcover,HeatIndexC,HeatIndexF,DewPointC,DewPointF,WindChillC,WindChillF,WindGustKmph,WindGustMiles,FeelsLikeC,FeelsLikeF,UVIndex
2025-01-01,00:00,07:01 AM,06:15 PM,24,76,8,5,84,E,113,Clear,https://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0008_clear_sky_night.png,0.0,0.0,49,10,6,1013,30,0,25,78,13,55,24,76,17,10,25,78,1
2025-01-01,01:00,07:01 AM,06:15 PM,24,75,9,6,64,ENE,113,Clear,https://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0008_clear_sky_night.png,0.0,0.0,47,10,6,1012,30,0,25,77,12,54,24,75,19,12,25,77,1
2025-01-01,02:00,07:01 AM,06:15 PM,24,75,10,6,58,ENE,113,Clear,https://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0008_clear_sky_night.png,0.0,0.0,47,10,6,1011,30,0,25,77,12,53,24,75,21,13,25,77,1
2025-01-01,03:00,07:01 AM,06:15 PM,24,74,10,6,57,ENE,113,Clear,https://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0008_clear_sky_night.png,0.0,0.0,49,10,6,1011,30,0,25,77,12,54,24,74,22,14,25,77,1
2025-01-01,04:00,07:01 AM,06:15 PM,23,74,12,7,69,ENE,113,Clear,https://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0008_clear_sky_night.png,0.0,0.0,51,10,6,1011,30,0,25,77,13,55,23,74,24,15,25,77,1
2025-01-01,05:00,07:01 AM,06:15 PM,23,74,13,8,76,ENE,113,Clear,https://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0008_clear_sky_night.png,0.0,0.0,52,10,6,1011,30,0,25,77,13,55,23,74,27,17,25,77,1
2025-01-01,06:00,07:01 AM,06:15 PM,23,74,14,9,86,E,113,Sunny,https://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0001_sunny.png,0.0,0.0,53,10,6,1012,30,0,25,77,13,56,23,74,30,19,25,77,6
2025-01-01,07:00,07:01 AM,06:15 PM,24,75,15,9,84,E,113,Sunny,https://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0001_sunny.png,0.0,0.0,54,10,6,1013,30,0,25,78,13,56,24,75,31,19,25,78,6
2025-01-01,08:00,07:01 AM,06:15 PM,26,78,15,9,84,E,113,Sunny,https://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0001_sunny.png,0.0,0.0,51,10,6,1014,30,0,26,80,14,57,26,78,26,16,26,80,7
2025-01-01,09:00,07:01 AM,06:15 PM,27,81,12,8,89,E,113,Sunny,https://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0001_sunny.png,0.0,0.0,46,10,6,1015,30,0,28,82,15,58,27,81,16,10,28,82,7
2025-01-01,10:00,07:01 AM,06:15 PM,29,84,10,6,89,E,113,Sunny,https://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0001_sunny.png,0.0,0.0,46,10,6,1014,30,0,30,86,16,61,29,84,13,8,30,86,7
2025-01-01,11:00,07:01 AM,06:15 PM,30,86,5,3,97,E,113,Sunny,https://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0001_sunny.png,0.0,0.0,46,10,6,1014,30,0,31,88,18,64,30,86,6,4,31,88,8
2025-01-01,12:00,07:01 AM,06:15 PM,31,87,4,2,322,NW,113,Sunny,https://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0001_sunny.png,0.0,0.0,40,10,6,1012,30,2,32,89,16,61,31,87,5,3,32,89,8
2025-01-01,13:00,07:01 AM,06:15 PM,31,88,10,6,294,WNW,113,Sunny,https://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0001_sunny.png,0.0,0.0,43,10,6,1011,30,5,32,90,17,63,31,88,13,8,32,90,8
2025-01-01,14:00,07:01 AM,06:15 PM,31,88,12,8,300,WNW,113,Sunny,https://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0001_sunny.png,0.0,0.0,45,10,6,1009,30,5,32,90,18,65,31,88,18,11,32,90,8
2025-01-01,15:00,07:01 AM,06:15 PM,30,87,14,9,310,NW,113,Sunny,https://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0001_sunny.png,0.0,0.0,47,10,6,1009,30,4,32,89,18,65,30,87,20,13,32,89,8
